OBJECTID,NAME,LABEL,TYPE,LEGISLATOR,PARTY,URL,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1,13,13,District,John Conyers Jr.,D,https://conyers.house.gov/,483.944,186.851,119583.959,17A,landscape,lower,886451890.800781,247262.468551597
2,02,02,District,Bill Huizenga,R,https://huizenga.house.gov/,8849.31,3416.722,2186688.538,17A,portrait,lower,16843024622.0078,790294.758430713
4,03,03,District,Justin Amash,R,https://amash.house.gov/,6983.559,2696.355,1725656.426,17A,portrait,lower,12954612619.9453,814889.760271947
5,06,06,District,Fred Upton,R,https://upton.house.gov/,9448.582,3648.101,2334770.277,17A,landscape,lower,17228942976,633947.703739482
6,04,04,District,John Moolenaar,R,https://moolenaar.house.gov/,22410.424,8652.673,5537676.71,17A,portrait,lower,42977802653.0586,1179944.51263295
7,05,05,District,Daniel Kildee,D,https://dankildee.house.gov/,6207.508,2396.721,1533892.218,17A,portrait,lower,11882815693.2031,1192752.55025896
8,01,01,District,Jack Bergman,R,https://bergman.house.gov/,67581.054,26093.071,16699462.4,17A,landscape,upper,139480354127.879,7255416.68106952
9,08,08,District,Mike Bishop,R,https://mikebishop.house.gov/,3989.842,1540.48,985900.885,17A,landscape,lower,7384191527.61719,502147.479563167
10,09,09,District,Sander Levin,D,https://levin.house.gov/,480.584,185.554,118753.571,17A,landscape,lower,886001116.96875,270749.166423985
11,07,07,District,Tim Walberg,R,https://walberg.house.gov/,11152.369,4305.934,2755780.688,17A,landscape,lower,20288926249.3789,1015772.89502855
12,10,10,District,Paul Mitchell,R,https://mitchell.house.gov/,10855.263,4191.221,2682364.995,17A,portrait,lower,20525769686.9336,1453323.27158465
13,12,12,District,Debbie Dingell,D,https://debbiedingell.house.gov/,1115.38,430.649,275613.452,17A,landscape,lower,2035817891.29297,343259.977662918
14,14,14,District,Brenda Lawrence,D,https://lawrence.house.gov/,500.601,193.282,123699.918,17A,landscape,lower,921360853.488281,343138.088908957
15,11,11,District,Dave Trott,R,https://trott.house.gov/,1140.718,440.432,281874.42,17A,portrait,lower,2103309276.46875,411754.588539556
