updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,absentee_by_mail,election_day,one_stop,provisional
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,21,ocd-division/country:us/state:nc/county:mecklenburg/precinct:21,509,,,,,2016,0,309,200,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,13,ocd-division/country:us/state:nc/county:mecklenburg/precinct:13,518,,,,,2016,0,230,288,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,16,ocd-division/country:us/state:nc/county:mecklenburg/precinct:16,55,,,,,2016,0,23,32,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,85,ocd-division/country:us/state:nc/county:mecklenburg/precinct:85,719,,,,,2016,0,333,386,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,84,ocd-division/country:us/state:nc/county:mecklenburg/precinct:84,225,,,,,2016,0,103,122,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,68,ocd-division/country:us/state:nc/county:mecklenburg/precinct:68,414,,,,,2016,0,222,192,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,63,ocd-division/country:us/state:nc/county:mecklenburg/precinct:63,288,,,,,2016,0,160,128,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,65,ocd-division/country:us/state:nc/county:mecklenburg/precinct:65,507,,,,,2016,0,250,257,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,PROVISIONAL 1-20,ocd-division/country:us/state:nc/county:mecklenburg/precinct:provisional_1-20,113,,,,,2016,0,0,0,113
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,202,ocd-division/country:us/state:nc/county:mecklenburg/precinct:202,2997,,,,,2016,0,684,2313,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,223.1,ocd-division/country:us/state:nc/county:mecklenburg/precinct:223.1,1784,,,,,2016,0,679,1105,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,231,ocd-division/country:us/state:nc/county:mecklenburg/precinct:231,1161,,,,,2016,0,514,647,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,213,ocd-division/country:us/state:nc/county:mecklenburg/precinct:213,344,,,,,2016,0,136,208,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,11,ocd-division/country:us/state:nc/county:mecklenburg/precinct:11,1877,,,,,2016,0,811,1066,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,115,ocd-division/country:us/state:nc/county:mecklenburg/precinct:115,301,,,,,2016,0,171,130,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,14,ocd-division/country:us/state:nc/county:mecklenburg/precinct:14,173,,,,,2016,0,80,93,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,29,ocd-division/country:us/state:nc/county:mecklenburg/precinct:29,345,,,,,2016,0,173,172,0
25:33.2,nc-2016-11-08-general,11/8/2016 0:00,11/8/2016 0:00,general,certified,FALSE,US HOUSE OF REPRESENTATIVES,12,Leon Threatt,,,,,REP,MECKLENBURG,26,ocd-division/country:us/state:nc/county:mecklenburg/precinct:26,232,,,,,2016,0,125,107,0
