county,precinct,office,district,party,candidate,votes
Bristol,Barrington 0101,President,,Democratic,Mark Stewart,0
Bristol,Barrington 0101,President,,Democratic,Bernie Sanders,251
Bristol,Barrington 0101,President,,Democratic,Uncommitted,5
Bristol,Barrington 0101,President,,Democratic,"Roque ""Rocky""  De La Fuente",0
Bristol,Barrington 0101,President,,Democratic,Hillary Clinton,214
Bristol,Barrington 0101,President,,Democratic,Overvotes,0
Bristol,Barrington 0101,President,,Democratic,Undervotes,7
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Roland C. Gauvin,205
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Walter M. Conklin,210
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Hilary G. Stookey,209
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Robert K. Goldman,204
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Jesse D. Crichton,196
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Linda L. Ujifusa,202
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Amanda Montgomery,210
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Laura Perez,205
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Overvotes,0
Bristol,Barrington 0101,Delegate for Sanders,1,Democratic,Undervotes,391
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,Emalee Ann Lally,1
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,J. Mark Ryan,1
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,Caitlin E. Howle,2
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,Beth F. Adamo,2
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,Overvotes,0
Bristol,Barrington 0101,Delegate for Uncommitted,1,Democratic,Undervotes,34
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Brett P. Smiley,109
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Kate G. Weymouth,148
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Deborah L. Ruggiero,119
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Myrth York,148
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Andrew W. Moore,51
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Sue Eckert Sawoski,93
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,"Joseph Robert Paolino, III",107
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,H. Claiborne Pell,148
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,June S. Speakman,147
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Joan Panichas Milas,62
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Jacqueline Marie Paolino,104
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Colleen A. Callahan,87
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,"Frederick W. Hoppe, JR.",34
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Overvotes,16
Bristol,Barrington 0101,Delegate for Clinton,1,Democratic,Undervotes,371
Bristol,Barrington 0101,President,,Republican,Donald J. Trump,115
Bristol,Barrington 0101,President,,Republican,Ted Cruz,34
Bristol,Barrington 0101,President,,Republican,John R. Kasich,92
Bristol,Barrington 0101,President,,Republican,Marco Rubio,2
Bristol,Barrington 0101,President,,Republican,Uncommitted,1
Bristol,Barrington 0101,President,,Republican,Overvotes,0
Bristol,Barrington 0101,President,,Republican,Undervotes,6
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Edward J. O'Neill (Trump),116
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Giovanni D. Cicione (Cruz),40
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Eileen M. Olson  (Cruz),35
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Thomas M. Dickinson (Kasich),106
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Chad R. Mollica (Kasich),102
Bristol,Barrington 0101,Congressional Delegate,1,Republican,"John A. Pagliarni, Jr. (Rubio)",17
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Lisa L. Bell (Rubio),12
Bristol,Barrington 0101,Congressional Delegate,1,Republican,David B. Talan (Rubio),4
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Anthony G. Spiratos (Uncommitted),30
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Overvotes,0
Bristol,Barrington 0101,Congressional Delegate,1,Republican,Undervotes,291
Bristol,Barrington 0101,Statewide Delegate,,Republican,"Edward J. Doura, Jr. (Trump)",45
Bristol,Barrington 0101,Statewide Delegate,,Republican,Kathleen S. Odell (Trump),47
Bristol,Barrington 0101,Statewide Delegate,,Republican,Lacey McGreevy (Trump),33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Frank W. LaFazia (Trump),45
Bristol,Barrington 0101,Statewide Delegate,,Republican,Debra Zarrella (Trump),53
Bristol,Barrington 0101,Statewide Delegate,,Republican,Rebecca Schiff (Trump),33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Eileen G. Grossman (Trump),34
Bristol,Barrington 0101,Statewide Delegate,,Republican,Andrew G. Webb (Trump),50
Bristol,Barrington 0101,Statewide Delegate,,Republican,Susan Iannitelli (Trump),45
Bristol,Barrington 0101,Statewide Delegate,,Republican,Stacia Huyler (Trump),25
Bristol,Barrington 0101,Statewide Delegate,,Republican,"F. William Pennoyver, IV (Trump)",25
Bristol,Barrington 0101,Statewide Delegate,,Republican,Doreen Marie Costa (Trump),33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Martha A. Stamp (Trump),30
Bristol,Barrington 0101,Statewide Delegate,,Republican,Louis P. Paolino (Trump),32
Bristol,Barrington 0101,Statewide Delegate,,Republican,Elizabeth Ann Leach (Trump),19
Bristol,Barrington 0101,Statewide Delegate,,Republican,Armand T. Lusi (Trump),18
Bristol,Barrington 0101,Statewide Delegate,,Republican,Marie E. Issa (Trump),24
Bristol,Barrington 0101,Statewide Delegate,,Republican,Linda A. Steere Larson (Trump),16
Bristol,Barrington 0101,Statewide Delegate,,Republican,David E. Watson (Trump),33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Mary E. Marcello (Trump),29
Bristol,Barrington 0101,Statewide Delegate,,Republican,Sean M. Todd (Trump),29
Bristol,Barrington 0101,Statewide Delegate,,Republican,Erica A. Marsland (Trump),13
Bristol,Barrington 0101,Statewide Delegate,,Republican,Michael J. Picillo (Trump),27
Bristol,Barrington 0101,Statewide Delegate,,Republican,Robert B. Bolton (Trump),24
Bristol,Barrington 0101,Statewide Delegate,,Republican,"Gerald P. Zarrella, Sr. (Trump)",33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Susan Applegate-Lockridge (Trump),10
Bristol,Barrington 0101,Statewide Delegate,,Republican,Donna M. Marsland (Trump),9
Bristol,Barrington 0101,Statewide Delegate,,Republican,Marilyn Cocozza Trillo (Trump),33
Bristol,Barrington 0101,Statewide Delegate,,Republican,Patrick M. Mannix (Trump),22
Bristol,Barrington 0101,Statewide Delegate,,Republican,Frank R. Palin (Trump),29
Bristol,Barrington 0101,Statewide Delegate,,Republican,Emily L. Kus (Cruz),15
Bristol,Barrington 0101,Statewide Delegate,,Republican,"Robert D. Sullivan, III (Cruz)",18
Bristol,Barrington 0101,Statewide Delegate,,Republican,Russell C. Hryzan (Cruz),12
Bristol,Barrington 0101,Statewide Delegate,,Republican,Karina E. Rapoza (Cruz),17
Bristol,Barrington 0101,Statewide Delegate,,Republican,Mark Smiley (Cruz),16
Bristol,Barrington 0101,Statewide Delegate,,Republican,Ernest A. Greco (Cruz),20
Bristol,Barrington 0101,Statewide Delegate,,Republican,Gina M. Catalano (Cruz),19
Bristol,Barrington 0101,Statewide Delegate,,Republican,Darlene E. Dame (Cruz),14
Bristol,Barrington 0101,Statewide Delegate,,Republican,Lester R. Olson (Cruz),16
Bristol,Barrington 0101,Statewide Delegate,,Republican,John I. Donovan (Cruz),20
Bristol,Barrington 0101,Statewide Delegate,,Republican,John J. Evers (Cruz),14
Bristol,Barrington 0101,Statewide Delegate,,Republican,Grant A. Van Eck (Cruz),14
Bristol,Barrington 0101,Statewide Delegate,,Republican,Mary D. Fitzhugh (Cruz),18
Bristol,Barrington 0101,Statewide Delegate,,Republican,William K. White (Kasich),57
Bristol,Barrington 0101,Statewide Delegate,,Republican,Akilah J. Keita (Kasich),36
Bristol,Barrington 0101,Statewide Delegate,,Republican,Nicholas D. Kettle (Kasich),52
Bristol,Barrington 0101,Statewide Delegate,,Republican,Robert J. Durant (Kasich),51
Bristol,Barrington 0101,Statewide Delegate,,Republican,Dawson Tucker Hodgson (Kasich),56
Bristol,Barrington 0101,Statewide Delegate,,Republican,Geoffrey E. Grove (Kasich),48
Bristol,Barrington 0101,Statewide Delegate,,Republican,"Robert H. Breslin, Jr. (Kasich)",51
Bristol,Barrington 0101,Statewide Delegate,,Republican,"Caswell Cooke, Jr. (Kasich)",41
Bristol,Barrington 0101,Statewide Delegate,,Republican,Christine M. Misto (Kasich),42
Bristol,Barrington 0101,Statewide Delegate,,Republican,John R. Gowell (Kasich),29
Bristol,Barrington 0101,Statewide Delegate,,Republican,Edward F. Hanley (Kasich),32
Bristol,Barrington 0101,Statewide Delegate,,Republican,Daniel S. Harrop (Kasich),38
Bristol,Barrington 0101,Statewide Delegate,,Republican,Robert J. Ferri (Kasich),25
Bristol,Barrington 0101,Statewide Delegate,,Republican,Paul L. Dion (Kasich),27
Bristol,Barrington 0101,Statewide Delegate,,Republican,Tina M. Walker (Kasich),25
Bristol,Barrington 0101,Statewide Delegate,,Republican,Meg Niemann Durant (Kasich),30
Bristol,Barrington 0101,Statewide Delegate,,Republican,James E. Walker (Kasich),28
Bristol,Barrington 0101,Statewide Delegate,,Republican,"William K. Wray, Sr. (Rubio)",2
Bristol,Barrington 0101,Statewide Delegate,,Republican,Martha L. Wallick (Rubio),6
Bristol,Barrington 0101,Statewide Delegate,,Republican,Thomas E. Rogers (Rubio),2
Bristol,Barrington 0101,Statewide Delegate,,Republican,Marion E. O'Brien (Rubio),2
Bristol,Barrington 0101,Statewide Delegate,,Republican,Sandra E. Morse (Rubio),1
Bristol,Barrington 0101,Statewide Delegate,,Republican,Allan W. Fung (Rubio),8
Bristol,Barrington 0101,Statewide Delegate,,Republican,Matthew Louis Fabisch (Rubio),1
Bristol,Barrington 0101,Statewide Delegate,,Republican,Alfred J. Passarelli (Rubio),2
Bristol,Barrington 0101,Statewide Delegate,,Republican,Kirk S. Jordan (Rubio),0
Bristol,Barrington 0101,Statewide Delegate,,Republican,Carlos E. Lopez (Rubio),0
Bristol,Barrington 0101,Statewide Delegate,,Republican,Susan F. Lancellotta (Rubio),0
Bristol,Barrington 0101,Statewide Delegate,,Republican,Jason R. Masterson (Rubio),0
