county,office,district,party,candidate,votes
Barrington,Senator in Congress,,,Total,8285
Barrington,Senator in Congress,,DEM,Sheldon Whitehouse,5568
Barrington,Senator in Congress,,REP,"Robert G. Flanders, Jr.",2696
Barrington,Senator in Congress,,NON,WRITE-IN,21
Barrington,Representative in Congress District 1,,,Total,8208
Barrington,Representative in Congress District 1,,DEM,David N. Cicilline,5514
Barrington,Representative in Congress District 1,,REP,Patrick J. Donovan,2673
Barrington,Representative in Congress District 1,,NON,WRITE-IN,21
Barrington,Governor,,,Total,8268
Barrington,Governor,,DEM,Gina M. Raimondo,5376
Barrington,Governor,,REP,Allan W. Fung,2270
Barrington,Governor,,Ind,Joseph A. Trillo,266
Barrington,Governor,,MOD,William H. Gilbert,177
Barrington,Governor,,Ind,Luis Daniel Munoz,84
Barrington,Governor,,Com,Anne Armstrong,69
Barrington,Governor,,NON,WRITE-IN,26
Barrington,Lieutenant Governor,,,Total,8039
Barrington,Lieutenant Governor,,DEM,Daniel J. McKee,5265
Barrington,Lieutenant Governor,,REP,Paul E. Pence,1956
Barrington,Lieutenant Governor,,MOD,Joel J. Hellmann,458
Barrington,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,134
Barrington,Lieutenant Governor,,Ind,Ross K. McCurdy,127
Barrington,Lieutenant Governor,,NON,WRITE-IN,99
Barrington,Secretary of State,,,Total,8105
Barrington,Secretary of State,,DEM,Nellie M. Gorbea,5875
Barrington,Secretary of State,,REP,Pat V. Cortellessa,2222
Barrington,Secretary of State,,NON,WRITE-IN,8
Barrington,Attorney General,,,Total,7521
Barrington,Attorney General,,DEM,Peter F. Neronha,6474
Barrington,Attorney General,,Com,Alan Gordon,971
Barrington,Attorney General,,NON,WRITE-IN,76
Barrington,General Treasurer,,,Total,8132
Barrington,General Treasurer,,DEM,Seth Magaziner,5752
Barrington,General Treasurer,,REP,Michael G. Riley,2372
Barrington,General Treasurer,,NON,WRITE-IN,8
Barrington,Senator in General Assembly District 32,,,Total,8139
Barrington,Senator in General Assembly District 32,,DEM,Cynthia Armour Coyne,5635
Barrington,Senator in General Assembly District 32,,REP,David Aucoin,2494
Barrington,Senator in General Assembly District 32,,NON,WRITE-IN,10
Barrington,Representative in General Assembly District 66,,,Total,4647
Barrington,Representative in General Assembly District 66,,DEM,Liana M. Cassar,3049
Barrington,Representative in General Assembly District 66,,REP,Rhonda Holmes,1591
Barrington,Representative in General Assembly District 66,,NON,WRITE-IN,7
Barrington,Representative in General Assembly District 67,,,Total,3294
Barrington,Representative in General Assembly District 67,,DEM,Jason Knight,2617
Barrington,Representative in General Assembly District 67,,Lib,Daryl Gould,660
Barrington,Representative in General Assembly District 67,,NON,WRITE-IN,17
Barrington,Moderator TOWN OF BARRINGTON,,,Total,6919
Barrington,Moderator TOWN OF BARRINGTON,,DEM,Julia P. Califano,6746
Barrington,Moderator TOWN OF BARRINGTON,,NON,WRITE-IN,173
Barrington,Town Council TOWN OF BARRINGTON,,,Total,12982
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Jacob N. Brier,4472
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Michael W. Carroll,4418
Barrington,Town Council TOWN OF BARRINGTON,,REP,Stephen B. Primiano,4001
Barrington,Town Council TOWN OF BARRINGTON,,NON,WRITE-IN,91
Barrington,School Committee TOWN OF BARRINGTON,,,Total,17597
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Gina J. Bae,5503
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Erika L. Sevetson,4267
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Patrick John McCrann,4226
Barrington,School Committee TOWN OF BARRINGTON,,REP,"John D. Alessandro, Jr.",3484
Barrington,School Committee TOWN OF BARRINGTON,,NON,WRITE-IN,117
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,8021
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,6317
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1704
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,7969
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,5165
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,2804
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,8028
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,6748
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1280
Barrington,4. TOWN COUNCIL MEETINGS TOWN OF BARRINGTON,,,Total,7777
