GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,SUBHD020101,SUBHD020102,SUBHD020103,SUBHD020104,SUBHD020105,SUBHD020106,SUBHD020107,SUBHD0202,HD03
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Total population,Race - One race - Total,Race - One race - White,Race - One race - Black or African American,Race - One race - American Indian and Alaska Native,Race - One race - Asian,Race - One race - Native Hawaiian and Other Pacific Islander,Race - One race - Some Other Race,Race - Two or More Races,Hispanic or Latino (of any race)
0400000US26,26,Michigan,0400000US26,26,Michigan,Michigan,9883640(r45127),9653321,7803120,1400362,62007,238199,2604,147029,230319,436358
0400000US26,26,Michigan,0500000US26001,26001,Michigan - Alcona County,Alcona County,10942,10843,10712,13,66,25,1,26,99,124
0400000US26,26,Michigan,0500000US26003,26003,Michigan - Alger County,Alger County,9601,9338,8286,612,397,32,0,11,263,114
0400000US26,26,Michigan,0500000US26005,26005,Michigan - Allegan County,Allegan County,111408,109259,103513,1358,636,648,22,3082,2149,7454
0400000US26,26,Michigan,0500000US26007,26007,Michigan - Alpena County,Alpena County,29598,29287,28845,79,156,152,13,42,311,304
0400000US26,26,Michigan,0500000US26009,26009,Michigan - Antrim County,Antrim County,23580,23246,22815,41,236,48,8,98,334,404
0400000US26,26,Michigan,0500000US26011,26011,Michigan - Arenac County,Arenac County,15899,15694,15393,29,190,29,9,44,205,225
0400000US26,26,Michigan,0500000US26013,26013,Michigan - Baraga County,Baraga County,8860,8466,6641,635,1160,13,0,17,394,86
0400000US26,26,Michigan,0500000US26015,26015,Michigan - Barry County,Barry County,59173,58398,57350,219,272,219,6,332,775,1336
0400000US26,26,Michigan,0500000US26017,26017,Michigan - Bay County,Bay County,107771,105364,101451,1702,564,578,14,1055,2407,5093
0400000US26,26,Michigan,0500000US26019,26019,Michigan - Benzie County,Benzie County,17525,17301,16843,72,252,45,0,89,224,302
0400000US26,26,Michigan,0500000US26021,26021,Michigan - Berrien County,Berrien County,156813,153067,122804,24037,834,2451,118,2823,3746,7054
0400000US26,26,Michigan,0500000US26023,26023,Michigan - Branch County,Branch County,45248,44577,42055,1393,181,208,3,737,671,1804
0400000US26,26,Michigan,0500000US26025,26025,Michigan - Calhoun County,Calhoun County,136146,131957,111915,14872,831,2179,56,2104,4189,6177
0400000US26,26,Michigan,0500000US26027,26027,Michigan - Cass County,Cass County,52293,50745,46496,2821,504,339,10,575,1548,1570
0400000US26,26,Michigan,0500000US26029,26029,Michigan - Charlevoix County,Charlevoix County,25949,25475,24806,80,382,103,11,93,474,359
0400000US26,26,Michigan,0500000US26031,26031,Michigan - Cheboygan County,Cheboygan County,26152,25485,24459,133,778,74,8,33,667,211
0400000US26,26,Michigan,0500000US26033,26033,Michigan - Chippewa County,Chippewa County,38520,36734,27837,2509,6068,230,24,66,1786,480
0400000US26,26,Michigan,0500000US26035,26035,Michigan - Clare County,Clare County,30926,30480,29951,149,206,91,8,75,446,464
0400000US26,26,Michigan,0500000US26037,26037,Michigan - Clinton County,Clinton County,75382,73898,70018,1549,333,1115,15,868,1484,2947
0400000US26,26,Michigan,0500000US26039,26039,Michigan - Crawford County,Crawford County,14074,13918,13721,51,76,52,1,17,156,182
0400000US26,26,Michigan,0500000US26041,26041,Michigan - Delta County,Delta County,37069,36285,35118,75,874,146,7,65,784,318
0400000US26,26,Michigan,0500000US26043,26043,Michigan - Dickinson County,Dickinson County,26168,25845,25438,87,145,120,7,48,323,270
0400000US26,26,Michigan,0500000US26045,26045,Michigan - Eaton County,Eaton County,107759,104999,94561,6811,466,1809,18,1334,2760,5101
0400000US26,26,Michigan,0500000US26047,26047,Michigan - Emmet County,Emmet County,32694,31975,30375,156,1198,174,8,64,719,429
0400000US26,26,Michigan,0500000US26049,26049,Michigan - Genesee County,Genesee County,425790,414774,317393,88127,2252,3879,79,3044,11016,12983
0400000US26,26,Michigan,0500000US26051,26051,Michigan - Gladwin County,Gladwin County,25692,25444,25111,60,122,76,2,73,248,310
0400000US26,26,Michigan,0500000US26053,26053,Michigan - Gogebic County,Gogebic County,16427,16201,15059,678,394,37,1,32,226,142
0400000US26,26,Michigan,0500000US26055,26055,Michigan - Grand Traverse County,Grand Traverse County,86986,85506,82334,1033,1010,601,38,490,1480,1874
0400000US26,26,Michigan,0500000US26057,26057,Michigan - Gratiot County,Gratiot County,42476,41896,38487,2354,197,146,10,702,580,2301
0400000US26,26,Michigan,0500000US26059,26059,Michigan - Hillsdale County,Hillsdale County,46688,46097,45304,220,174,188,4,207,591,826
0400000US26,26,Michigan,0500000US26061,26061,Michigan - Houghton County,Houghton County,36628,36136,34596,198,206,1054,17,65,492,415
0400000US26,26,Michigan,0500000US26063,26063,Michigan - Huron County,Huron County,33118,32814,32286,122,107,148,4,147,304,657
0400000US26,26,Michigan,0500000US26065,26065,Michigan - Ingham County,Ingham County,280895,269757,213913,33047,1546,14599,114,6538,11138,20526
0400000US26,26,Michigan,0500000US26067,26067,Michigan - Ionia County,Ionia County,63905,62981,58563,3019,289,248,7,855,924,2791
0400000US26,26,Michigan,0500000US26069,26069,Michigan - Iosco County,Iosco County,25887,25504,24965,122,170,126,15,106,383,403
