,office,district,candidate,party,parent_jurisdiction,jurisdiction,votes,absentee_votes,precinct
0,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,21,509.0,0.0,MECKLENBURG 21
1,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,13,518.0,0.0,MECKLENBURG 13
2,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,16,55.0,0.0,MECKLENBURG 16
3,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,85,719.0,0.0,MECKLENBURG 85
4,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,84,225.0,0.0,MECKLENBURG 84
5,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,68,414.0,0.0,MECKLENBURG 68
6,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,63,288.0,0.0,MECKLENBURG 63
7,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,65,507.0,0.0,MECKLENBURG 65
8,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,PROVISIONAL 1-20,113.0,0.0,MECKLENBURG PROVISIONAL 1-20
9,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,202,2997.0,0.0,MECKLENBURG 202
10,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,223.1,1784.0,0.0,MECKLENBURG 223.1
11,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,231,1161.0,0.0,MECKLENBURG 231
12,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,213,344.0,0.0,MECKLENBURG 213
13,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,11,1877.0,0.0,MECKLENBURG 11
14,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,115,301.0,0.0,MECKLENBURG 115
15,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,14,173.0,0.0,MECKLENBURG 14
16,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,29,345.0,0.0,MECKLENBURG 29
17,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,26,232.0,0.0,MECKLENBURG 26
18,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,46,423.0,0.0,MECKLENBURG 46
19,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,50,517.0,0.0,MECKLENBURG 50
20,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,PROVISIONAL 21-40,74.0,0.0,MECKLENBURG PROVISIONAL 21-40
21,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,CURBSIDE 81-96,28.0,0.0,MECKLENBURG CURBSIDE 81-96
22,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,224,695.0,0.0,MECKLENBURG 224
23,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,210,391.0,0.0,MECKLENBURG 210
24,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,211,1572.0,0.0,MECKLENBURG 211
25,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,133,2088.0,0.0,MECKLENBURG 133
26,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,9,903.0,0.0,MECKLENBURG 9
27,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,130,307.0,0.0,MECKLENBURG 130
28,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,23,186.0,0.0,MECKLENBURG 23
29,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,43,158.0,0.0,MECKLENBURG 43
30,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,44,343.0,0.0,MECKLENBURG 44
31,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,97,189.0,0.0,MECKLENBURG 97
32,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,94,388.0,0.0,MECKLENBURG 94
33,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,140,2014.0,0.0,MECKLENBURG 140
34,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,120,243.0,0.0,MECKLENBURG 120
35,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,80,463.0,0.0,MECKLENBURG 80
36,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,31,72.0,0.0,MECKLENBURG 31
37,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,PROVISIONAL 81-96,16.0,0.0,MECKLENBURG PROVISIONAL 81-96
38,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,ABSENTEE BY MAIL 61-80,426.0,426.0,MECKLENBURG ABSENTEE BY MAIL 61-80
39,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,207,2197.0,0.0,MECKLENBURG 207
40,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,134,2404.0,0.0,MECKLENBURG 134
41,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,58,734.0,0.0,MECKLENBURG 58
42,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,53,177.0,0.0,MECKLENBURG 53
43,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,39,90.0,0.0,MECKLENBURG 39
44,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,33,267.0,0.0,MECKLENBURG 33
45,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,34,464.0,0.0,MECKLENBURG 34
46,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,2,646.0,0.0,MECKLENBURG 2
47,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,3,103.0,0.0,MECKLENBURG 3
48,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,239,671.0,0.0,MECKLENBURG 239
49,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,234,996.0,0.0,MECKLENBURG 234
50,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,6,192.0,0.0,MECKLENBURG 6
51,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,42,71.0,0.0,MECKLENBURG 42
52,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,25,39.0,0.0,MECKLENBURG 25
53,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,28,206.0,0.0,MECKLENBURG 28
54,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,17,118.0,0.0,MECKLENBURG 17
55,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,49,797.0,0.0,MECKLENBURG 49
56,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,122,1340.0,0.0,MECKLENBURG 122
57,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,105,557.0,0.0,MECKLENBURG 105
58,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,102,821.0,0.0,MECKLENBURG 102
59,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,125,208.0,0.0,MECKLENBURG 125
60,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,150,795.0,0.0,MECKLENBURG 150
61,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,145,2540.0,0.0,MECKLENBURG 145
62,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,146,387.0,0.0,MECKLENBURG 146
63,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,204.1,618.0,0.0,MECKLENBURG 204.1
64,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,CURBSIDE 61-80,42.0,0.0,MECKLENBURG CURBSIDE 61-80
65,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,127,1981.0,0.0,MECKLENBURG 127
66,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,141,865.0,0.0,MECKLENBURG 141
67,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,78.1,301.0,0.0,MECKLENBURG 78.1
68,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,104,171.0,0.0,MECKLENBURG 104
69,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,95,261.0,0.0,MECKLENBURG 95
70,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,98,194.0,0.0,MECKLENBURG 98
71,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,51,810.0,0.0,MECKLENBURG 51
72,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,209,1764.0,0.0,MECKLENBURG 209
73,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,242,1576.0,0.0,MECKLENBURG 242
74,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,88,843.0,0.0,MECKLENBURG 88
75,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,89,1217.0,0.0,MECKLENBURG 89
76,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,15,624.0,0.0,MECKLENBURG 15
77,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,20,771.0,0.0,MECKLENBURG 20
78,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,67,576.0,0.0,MECKLENBURG 67
79,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,41,138.0,0.0,MECKLENBURG 41
80,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,12,124.0,0.0,MECKLENBURG 12
81,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,83,630.0,0.0,MECKLENBURG 83
82,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,82,112.0,0.0,MECKLENBURG 82
83,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,22,1654.0,0.0,MECKLENBURG 22
84,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,62,236.0,0.0,MECKLENBURG 62
85,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,ABSENTEE BY MAIL 81-96,337.0,337.0,MECKLENBURG ABSENTEE BY MAIL 81-96
86,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,132,313.0,0.0,MECKLENBURG 132
87,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,240,2551.0,0.0,MECKLENBURG 240
88,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,203,807.0,0.0,MECKLENBURG 203
89,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,201,1384.0,0.0,MECKLENBURG 201
90,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,206,1478.0,0.0,MECKLENBURG 206
91,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,225,723.0,0.0,MECKLENBURG 225
92,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,7,394.0,0.0,MECKLENBURG 7
93,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,61,341.0,0.0,MECKLENBURG 61
94,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,64,256.0,0.0,MECKLENBURG 64
95,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,66,511.0,0.0,MECKLENBURG 66
96,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,87,874.0,0.0,MECKLENBURG 87
97,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,81,398.0,0.0,MECKLENBURG 81
98,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,27,117.0,0.0,MECKLENBURG 27
99,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,24,245.0,0.0,MECKLENBURG 24
100,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,47,996.0,0.0,MECKLENBURG 47
101,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,45,291.0,0.0,MECKLENBURG 45
102,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,212,1288.0,0.0,MECKLENBURG 212
103,U.S. House,12.0,Leon Threatt,R,MECKLENBURG,214,668.0,0.0,MECKLENBURG 214
