,office,district,candidate,party,parent_jurisdiction,jurisdiction,votes,absentee_votes,,
194,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,15,,,,
195,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,18,,,,
196,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,13,,,,
197,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,27,,,,
198,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,26,,,,
199,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,24,,,,
200,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,7,,,,
201,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,17,,,,
202,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,12,,,,
203,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,10,,,,
204,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,19,,,,
205,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,28,,,,
206,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,8,,,,
207,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,2,,,,
208,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,21,,,,
209,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,16,,,,
210,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,14,,,,
211,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,11,,,,
212,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,3,,,,
213,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,22,,,,
214,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,25,,,,
215,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,23,,,,
216,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,20,,,,
217,US PRESIDENT,,Jill Stein (Write-In),,STANLY,13,,,,
218,US PRESIDENT,,Jill Stein (Write-In),,STANLY,15,,,,
219,US PRESIDENT,,Jill Stein (Write-In),,STANLY,18,,,,
220,US PRESIDENT,,Jill Stein (Write-In),,STANLY,23,,,,
221,US PRESIDENT,,Jill Stein (Write-In),,STANLY,20,,,,
222,US PRESIDENT,,Jill Stein (Write-In),,STANLY,14,,,,
223,US PRESIDENT,,Jill Stein (Write-In),,STANLY,3,,,,
224,US PRESIDENT,,Jill Stein (Write-In),,STANLY,22,,,,
225,US PRESIDENT,,Jill Stein (Write-In),,STANLY,25,,,,
