office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,Barrington 0101,522,36
President,,Donald J. Trump,R,Barrington 0102,683,67
President,,Donald J. Trump,R,Barrington 0103,469,39
President,,Donald J. Trump,R,Barrington 0104,611,38
President,,Donald J. Trump,R,Barrington 0105,590,68
President,,Donald J. Trump,R,Barrington Limited,0,0
President,,Donald J. Trump,R,Barrington Presidential,23,0
President,,Donald J. Trump,R,Bristol 0201,472,23
President,,Donald J. Trump,R,Bristol 0202,185,15
President,,Donald J. Trump,R,Bristol 0203,806,78
President,,Donald J. Trump,R,Bristol 0204,498,44
President,,Donald J. Trump,R,Bristol 0205,727,35
President,,Donald J. Trump,R,Bristol 0206,478,18
President,,Donald J. Trump,R,Bristol 0207,290,28
President,,Donald J. Trump,R,Bristol 0208,398,31
President,,Donald J. Trump,R,Bristol 0209,100,5
President,,Donald J. Trump,R,Bristol Limited,0,0
President,,Donald J. Trump,R,Bristol Presidential,126,0
President,,Donald J. Trump,R,Burrillville 0301,661,43
President,,Donald J. Trump,R,Burrillville 0302,715,40
President,,Donald J. Trump,R,Burrillville 0303,880,33
President,,Donald J. Trump,R,Burrillville 0304,516,21
President,,Donald J. Trump,R,Burrillville 0305,579,23
President,,Donald J. Trump,R,Burrillville 0306,703,19
President,,Donald J. Trump,R,Burrillville Limited,0,0
President,,Donald J. Trump,R,Burrillville Presidential,85,2
President,,Donald J. Trump,R,Central Falls 0401,103,6
President,,Donald J. Trump,R,Central Falls 0402,63,5
President,,Donald J. Trump,R,Central Falls 0403,92,10
President,,Donald J. Trump,R,Central Falls 0404,80,15
President,,Donald J. Trump,R,Central Falls 0405,40,1
President,,Donald J. Trump,R,Central Falls 0406,137,2
President,,Donald J. Trump,R,Central Falls 0407,31,0
President,,Donald J. Trump,R,Central Falls 0408,98,5
President,,Donald J. Trump,R,Central Falls Limited,0,0
President,,Donald J. Trump,R,Central Falls Presidential,13,1
President,,Donald J. Trump,R,Charlestown 0501,521,33
President,,Donald J. Trump,R,Charlestown 0502,531,28
President,,Donald J. Trump,R,Charlestown 0503,453,53
President,,Donald J. Trump,R,Charlestown 0504,362,43
President,,Donald J. Trump,R,Charlestown Limited,0,0
President,,Donald J. Trump,R,Charlestown Presidential,39,7
President,,Donald J. Trump,R,Coventry 0601,541,22
President,,Donald J. Trump,R,Coventry 0602,130,2
President,,Donald J. Trump,R,Coventry 0603,820,33
President,,Donald J. Trump,R,Coventry 0604,527,16
President,,Donald J. Trump,R,Coventry 0605,598,21
President,,Donald J. Trump,R,Coventry 0606,339,13
President,,Donald J. Trump,R,Coventry 0607,706,26
President,,Donald J. Trump,R,Coventry 0608,676,16
President,,Donald J. Trump,R,Coventry 0609,609,21
President,,Donald J. Trump,R,Coventry 0610,330,14
President,,Donald J. Trump,R,Coventry 0611,512,23
President,,Donald J. Trump,R,Coventry 0612,517,18
President,,Donald J. Trump,R,Coventry 0613,452,31
President,,Donald J. Trump,R,Coventry 0614,213,23
President,,Donald J. Trump,R,Coventry 0615,631,37
President,,Donald J. Trump,R,Coventry 0616,702,30
President,,Donald J. Trump,R,Coventry 0617,509,17
President,,Donald J. Trump,R,Coventry 0618,277,15
President,,Donald J. Trump,R,Coventry Limited,2,0
President,,Donald J. Trump,R,Coventry Presidential,108,2
President,,Donald J. Trump,R,Cranston 0701,410,29
President,,Donald J. Trump,R,Cranston 0702,347,27
President,,Donald J. Trump,R,Cranston 0703,460,37
President,,Donald J. Trump,R,Cranston 0704,107,13
President,,Donald J. Trump,R,Cranston 0705,131,4
President,,Donald J. Trump,R,Cranston 0706,1156,91
President,,Donald J. Trump,R,Cranston 0707,907,95
President,,Donald J. Trump,R,Cranston 0708,896,64
President,,Donald J. Trump,R,Cranston 0709,1132,107
President,,Donald J. Trump,R,Cranston 0710,463,23
President,,Donald J. Trump,R,Cranston 0711,710,59
President,,Donald J. Trump,R,Cranston 0712,893,102
President,,Donald J. Trump,R,Cranston 0713,740,61
President,,Donald J. Trump,R,Cranston 0714,132,11
President,,Donald J. Trump,R,Cranston 0715,401,29
President,,Donald J. Trump,R,Cranston 0716,671,46
President,,Donald J. Trump,R,Cranston 0717,203,7
President,,Donald J. Trump,R,Cranston 0718,322,16
President,,Donald J. Trump,R,Cranston 0719,643,43
President,,Donald J. Trump,R,Cranston 0720,224,20
President,,Donald J. Trump,R,Cranston 0721,490,36
President,,Donald J. Trump,R,Cranston 0722,311,14
President,,Donald J. Trump,R,Cranston 0723,341,24
President,,Donald J. Trump,R,Cranston 0724,297,39
President,,Donald J. Trump,R,Cranston 0725,525,38
President,,Donald J. Trump,R,Cranston 0726,370,18
President,,Donald J. Trump,R,Cranston 0727,230,7
President,,Donald J. Trump,R,Cranston 0728,2,2
President,,Donald J. Trump,R,Cranston 0730,1372,82
President,,Donald J. Trump,R,Cranston 0731,880,48
President,,Donald J. Trump,R,Cranston Limited,3,2
President,,Donald J. Trump,R,Cranston Presidential,165,17
President,,Donald J. Trump,R,Cumberland 0801,441,18
President,,Donald J. Trump,R,Cumberland 0802,602,31
President,,Donald J. Trump,R,Cumberland 0803,734,42
President,,Donald J. Trump,R,Cumberland 0804,183,7
President,,Donald J. Trump,R,Cumberland 0805,725,31
President,,Donald J. Trump,R,Cumberland 0806,650,56
President,,Donald J. Trump,R,Cumberland 0807,978,64
President,,Donald J. Trump,R,Cumberland 0808,942,71
President,,Donald J. Trump,R,Cumberland 0809,320,19
President,,Donald J. Trump,R,Cumberland 0810,387,20
President,,Donald J. Trump,R,Cumberland 0811,612,31
President,,Donald J. Trump,R,Cumberland 0812,501,27
President,,Donald J. Trump,R,Cumberland 0813,283,16
President,,Donald J. Trump,R,Cumberland Limited,3,1
President,,Donald J. Trump,R,Cumberland Presidential,83,4
President,,Donald J. Trump,R,East Greenwich 0901,155,17
President,,Donald J. Trump,R,East Greenwich 0902,792,71
President,,Donald J. Trump,R,East Greenwich 0903,559,42
President,,Donald J. Trump,R,East Greenwich 0904,738,75
President,,Donald J. Trump,R,East Greenwich 0905,843,77
President,,Donald J. Trump,R,East Greenwich Limited,8,2
President,,Donald J. Trump,R,East Greenwich Presidential,27,4
President,,Donald J. Trump,R,East Providence 1001,607,30
President,,Donald J. Trump,R,East Providence 1002,362,15
President,,Donald J. Trump,R,East Providence 1003,225,7
President,,Donald J. Trump,R,East Providence 1004,549,25
President,,Donald J. Trump,R,East Providence 1005,388,47
President,,Donald J. Trump,R,East Providence 1006,34,0
President,,Donald J. Trump,R,East Providence 1007,56,9
President,,Donald J. Trump,R,East Providence 1008,409,36
President,,Donald J. Trump,R,East Providence 1009,578,49
President,,Donald J. Trump,R,East Providence 1010,428,33
President,,Donald J. Trump,R,East Providence 1011,577,52
President,,Donald J. Trump,R,East Providence 1012,299,14
