office,district,candidate,party,precinct,votes,absentee_votes
U.S. Senate,,Sheldon Whitehouse,D,Barrington 0101,922,56
U.S. Senate,,Sheldon Whitehouse,D,Barrington 0102,1255,111
U.S. Senate,,Sheldon Whitehouse,D,Barrington 0103,999,115
U.S. Senate,,Sheldon Whitehouse,D,Barrington 0104,1192,101
U.S. Senate,,Sheldon Whitehouse,D,Barrington 0105,1200,121
U.S. Senate,,Sheldon Whitehouse,D,Barrington Limited,0,0
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0201,479,26
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0202,373,35
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0203,1123,125
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0204,762,88
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0205,773,29
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0206,682,32
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0207,511,54
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0208,576,54
U.S. Senate,,Sheldon Whitehouse,D,Bristol 0209,131,6
U.S. Senate,,Sheldon Whitehouse,D,Bristol Limited,0,0
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0301,470,50
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0302,409,32
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0303,599,62
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0304,395,42
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0305,369,23
U.S. Senate,,Sheldon Whitehouse,D,Burrillville 0306,413,26
U.S. Senate,,Sheldon Whitehouse,D,Burrillville Limited,1,0
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0401,382,20
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0402,192,11
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0403,397,57
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0404,359,46
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0405,154,32
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0406,231,16
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0407,93,8
U.S. Senate,,Sheldon Whitehouse,D,Central Falls 0408,324,16
U.S. Senate,,Sheldon Whitehouse,D,Central Falls Limited,3,0
U.S. Senate,,Sheldon Whitehouse,D,Charlestown 0501,572,22
U.S. Senate,,Sheldon Whitehouse,D,Charlestown 0502,606,35
U.S. Senate,,Sheldon Whitehouse,D,Charlestown 0503,542,48
U.S. Senate,,Sheldon Whitehouse,D,Charlestown 0504,478,54
U.S. Senate,,Sheldon Whitehouse,D,Charlestown Limited,0,0
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0601,384,20
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0602,123,2
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0603,622,62
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0604,405,24
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0605,414,17
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0606,204,9
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0607,629,24
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0608,542,16
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0609,403,16
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0610,286,11
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0611,405,18
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0612,423,27
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0613,370,32
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0614,199,20
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0615,457,23
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0616,522,15
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0617,354,11
U.S. Senate,,Sheldon Whitehouse,D,Coventry 0618,198,25
U.S. Senate,,Sheldon Whitehouse,D,Coventry Limited,0,0
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0701,762,33
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0702,567,13
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0703,423,16
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0704,170,4
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0705,180,2
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0706,640,64
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0707,699,50
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0708,817,41
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0709,978,94
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0710,735,41
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0711,580,32
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0712,711,75
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0713,654,55
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0714,157,2
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0715,488,18
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0716,606,39
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0717,320,11
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0718,350,20
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0719,542,38
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0720,222,21
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0721,801,36
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0722,410,18
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0723,1193,60
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0724,1022,113
U.S. Senate,,Sheldon Whitehouse,D,Cranston 0725,1150,46
